2024-02-29 10:13:58.383 [main] INFO  com.mrdongshan.elk.DemoElkApplication - Starting DemoElkApplication using Java 1.8.0_361 on mrdongshandeMacBook-Pro.local with PID 8015 (/Users/mrdongshan/IdeaProjects/spring-boot-learn/demo-elk/target/classes started by mrdongshan in /Users/mrdongshan/IdeaProjects/spring-boot-learn)
2024-02-29 10:13:58.392 [main] INFO  com.mrdongshan.elk.DemoElkApplication - No active profile set, falling back to 1 default profile: "default"
2024-02-29 10:14:00.776 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-02-29 10:14:00.817 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-02-29 10:14:00.820 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-02-29 10:14:00.820 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2024-02-29 10:14:00.963 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-02-29 10:14:00.964 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2468 ms
2024-02-29 10:14:02.688 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-02-29 10:14:02.720 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-02-29 10:14:02.742 [main] INFO  com.mrdongshan.elk.DemoElkApplication - Started DemoElkApplication in 6.676 seconds (JVM running for 12.347)
2024-02-29 10:14:02.748 [main] INFO  com.mrdongshan.elk.DemoElkApplication - hello world
